1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,190,680,1271,188,216,319,563
0,205,877,1956,425,254,331,704
0,213,987,2236,726,292,364,871
0,213,1090,2480,1075,702,589,1525
0,238,1213,2713,1301,897,687,2014
0,244,1297,2879,1480,1015,780,2474
0,247,1322,3029,1601,1144,840,2931
0,247,1352,3120,1715,1348,953,3444
0,257,1448,3362,1959,1659,1072,3971
0,257,1471,3424,2028,1801,1171,4456
0,263,1605,3642,2325,2159,1448,5054
0,265,1626,3792,2447,2304,1528,5528
0,265,1693,3901,2557,2531,1665,6067
0,272,1753,4128,2811,2825,1837,6682
0,275,1777,4192,2897,2966,1913,7187
0,295,1898,4372,3177,3261,2034,7758
0,295,1930,4545,3291,3380,2113,8211
0,295,1957,4658,3458,3585,2254,8689
0,321,2108,4940,3719,3830,2381,9249
0,324,2145,5028,3817,3984,2488,9727
0,329,2259,5307,4196,4391,2692,10361
0,332,2290,5394,4288,4532,2782,10811
0,334,2345,5466,4414,4834,2913,11322
0,343,2421,5710,4653,5070,3043,11810
0,344,2460,5805,4754,5228,3152,12243
0,355,2587,6050,5078,5532,3313,12873
0,357,2614,6130,5171,5631,3372,13314
0,357,2680,6276,5409,5974,3532,13887
0,358,2725,6494,5573,6173,3684,14393
0,358,2736,6571,5675,6317,3782,14831
0,376,2868,6846,5978,6666,4006,15420
0,378,2890,6933,6058,6756,4079,15885
0,383,2969,7050,6300,7071,4268,16445
0,383,2992,7244,6483,7238,4369,16968
0,383,3047,7330,6619,7431,4447,17439
0,390,3117,7570,6930,7755,4675,18007
0,390,3145,7631,7007,7913,4740,18456
0,395,3213,7775,7359,8392,4975,19044
0,398,3252,7937,7504,8607,5080,19529
0,400,3297,8067,7681,8816,5214,20001
0,405,3380,8293,7943,9218,5334,20558
0,407,3398,8354,8010,9357,5389,21009
0,412,3480,8482,8266,9752,5645,21556
0,414,3522,8633,8383,9887,5744,22099
0,416,3580,8739,8574,10204,5889,22623
0,431,3650,8996,8902,10625,6096,23098
0,431,3677,9035,8960,10690,6158,23558
0,440,3765,9222,9304,11121,6384,24115
0,442,3798,9386,9424,11275,6456,24573
0,442,3856,9486,9564,11601,6624,25091
0,460,4023,9769,9954,11955,6774,25592
0,461,4034,9819,10016,12079,6815,26031
0,474,4135,10002,10312,12483,6967,26606
0,476,4153,10161,10428,12635,7020,27071
0,477,4198,10278,10658,12996,7171,27660
0,488,4284,10516,11009,13325,7348,28158
0,488,4302,10586,11092,13473,7419,28601
0,501,4408,10834,11458,13824,7557,29156
0,502,4442,10916,11570,13966,7634,29639
0,502,4528,11048,11884,14402,7835,30138
0,524,4685,11306,12170,14619,7980,30637
0,524,4718,11365,12255,14763,8074,31130
0,526,4794,11545,12614,15323,8265,31657
0,527,4867,11872,12818,15445,8324,31901
0,559,5115,12658,13636,15615,8404,32004
0,588,5328,13046,14058,15686,8434,32184
0,602,5474,13393,14399,15749,8479,32367
0,623,5680,14138,14966,15909,8536,32545
