Timestamp,Source_IP,Source_Port,Destination_IP,Destination_Port,TGID,Comm,Delay_us
2024-12-11 16:06:01.040075272,10.193.121.196,4764,44.196.3.45,443,197540,python3,224732452
2024-12-11 16:06:01.040702655,10.193.121.196,9372,44.196.3.45,443,197542,python3,225175177
2024-12-11 16:06:01.041516949,10.193.121.196,32396,44.206.71.62,443,197538,python3,225280077
2024-12-11 16:06:01.041586578,10.193.121.196,8860,44.196.3.45,443,197544,python3,226127068
2024-12-11 16:06:01.041998867,10.193.121.196,29324,44.206.71.62,443,197539,python3,231815511
2024-12-11 16:06:01.047067190,10.193.121.196,34444,44.206.71.62,443,197546,python3,226331526
2024-12-11 16:06:01.048279315,10.193.121.196,9884,44.196.3.45,443,197541,python3,226234312
2024-12-11 16:06:01.048817274,10.193.121.196,37516,44.206.71.62,443,197547,python3,226721886
2024-12-11 16:06:01.051995205,10.193.121.196,33932,44.206.71.62,443,197543,python3,231302754
2024-12-11 16:06:01.053694763,10.193.121.196,37004,44.206.71.62,443,197545,python3,231700773
2024-12-11 16:06:04.763813834,10.193.121.196,38028,44.206.71.62,443,197540,python3,229618985
2024-12-11 16:06:04.792173035,10.193.121.196,40076,44.206.71.62,443,197542,python3,226921077
2024-12-11 16:06:04.856904750,10.193.121.196,13980,44.196.3.45,443,197544,python3,226122680
2024-12-11 16:06:04.878268019,10.193.121.196,43148,44.206.71.62,443,197541,python3,229788447
2024-12-11 16:06:04.904864382,10.193.121.196,16540,44.196.3.45,443,197547,python3,226955776
2024-12-11 16:06:04.921783089,10.193.121.196,17052,44.196.3.45,443,197543,python3,230234064
2024-12-11 16:06:04.955236112,10.193.121.196,20124,44.196.3.45,443,197545,python3,229299087
2024-12-11 16:06:05.044200344,10.193.121.196,20636,44.196.3.45,443,197538,python3,230689087
2024-12-11 16:06:05.201113514,10.193.121.196,43660,44.206.71.62,443,197539,python3,226467063
2024-12-11 16:06:06.367340538,10.193.121.196,19623,44.196.3.45,443,197546,python3,232963819
2024-12-11 16:06:06.796629043,10.193.121.196,46225,44.206.71.62,443,197541,python3,225542891
2024-12-11 16:06:08.604437864,10.193.121.196,47761,44.206.71.62,443,197540,python3,223301017
2024-12-11 16:06:08.615130229,10.193.121.196,22183,44.196.3.45,443,197542,python3,233986274
2024-12-11 16:06:08.695065086,10.193.121.196,29351,44.196.3.45,443,197547,python3,226813155
2024-12-11 16:06:08.700007757,10.193.121.196,25255,44.196.3.45,443,197544,python3,234116767
2024-12-11 16:06:08.889506129,10.193.121.196,32423,44.196.3.45,443,197545,python3,229236349
2024-12-11 16:06:08.897730448,10.193.121.196,50321,44.206.71.62,443,197543,python3,227441497
2024-12-11 16:06:08.960778432,10.193.121.196,36519,44.196.3.45,443,197539,python3,228757910
2024-12-11 16:06:09.214015903,10.193.121.196,37543,44.196.3.45,443,197538,python3,228078750
2024-12-11 16:06:10.188930098,10.193.121.196,53905,44.206.71.62,443,197546,python3,228578074
2024-12-11 16:06:10.543142853,10.193.121.196,58001,44.206.71.62,443,197541,python3,227422289
2024-12-11 16:06:12.352640373,10.193.121.196,60049,44.206.71.62,443,197540,python3,228304977
2024-12-11 16:06:12.604608973,10.193.121.196,63633,44.206.71.62,443,197544,python3,226651427
2024-12-11 16:06:12.791602329,10.193.121.196,146,44.206.71.62,443,197539,python3,227685717
2024-12-11 16:06:12.805136795,10.193.121.196,38567,44.196.3.45,443,197543,python3,227000562
