1ms,4ms,16ms,32ms,64ms,128ms,256ms,256ms+
0,0,1,11,0,0,0,0
0,0,25,29,0,0,0,0
0,0,95,34,0,0,0,0
0,0,97,36,0,0,0,0
0,0,97,41,0,0,0,0
0,0,102,59,1,0,0,0
0,0,102,62,1,0,50,0
0,0,102,63,1,0,120,0
0,0,102,64,1,0,621,0
0,0,102,65,2,0,1975,0
0,0,102,65,4,0,2459,0
0,0,102,65,6,0,3971,0
0,0,118,82,16,0,5172,0
0,0,121,82,16,0,5363,0
0,0,125,82,16,0,5524,0
0,0,126,85,16,0,5729,0
0,0,126,87,16,0,6301,0
0,0,126,90,16,0,7212,0
0,0,126,91,17,0,7823,0
0,0,126,91,20,0,9390,0
0,0,126,93,25,0,10308,0
0,0,126,95,25,0,10461,0
0,0,126,97,25,0,10891,0
0,0,126,100,25,0,11300,0
0,0,126,102,25,0,11975,0
0,0,126,104,25,0,12661,0
0,0,126,105,26,0,13263,0
0,0,126,105,29,0,14501,0
0,0,126,108,30,0,15593,0
0,0,126,111,30,0,16079,0
0,0,126,114,30,0,16528,0
0,0,126,116,30,0,16826,0
0,0,126,118,30,0,17451,0
0,0,126,119,30,0,18044,0
0,0,126,120,31,0,18930,0
0,0,126,120,34,0,20228,0
0,0,126,122,37,0,21112,0
0,0,126,124,38,0,21695,0
0,0,126,125,41,0,22233,0
0,0,126,127,42,0,22526,0
0,0,126,127,43,0,23148,0
0,0,126,127,45,0,23796,0
0,0,126,127,49,0,24706,0
0,0,202,134,55,0,25782,0
0,0,289,134,55,0,26578,0
0,0,293,137,55,0,27531,0
0,0,300,138,55,0,27892,0
0,0,302,140,55,0,28182,0
0,0,302,143,55,0,28648,0
0,0,302,149,55,0,29512,0
0,0,302,156,56,0,30659,0
0,0,302,161,58,0,31571,0
0,0,302,161,63,0,32188,0
0,0,302,162,64,0,32956,0
0,0,302,162,67,0,33483,0
0,0,302,162,69,0,33939,0
0,0,302,162,70,0,34404,0
0,0,302,162,72,0,35284,0
0,0,302,162,73,0,36034,19
0,0,302,162,75,0,36948,21
0,0,302,162,78,0,37398,102
0,0,302,162,85,0,37755,106
0,0,302,162,89,0,38576,106
0,0,302,162,94,0,39163,106
0,0,302,162,97,0,39756,106
0,0,303,170,102,0,40394,106
0,0,309,170,102,0,40394,106
0,0,318,170,102,0,40394,106
0,0,417,179,102,0,40394,106
0,0,437,179,102,0,40394,106
0,0,526,184,102,0,40394,106
0,0,712,193,102,0,40394,106
0,0,716,193,102,0,40394,106
0,0,717,199,102,0,40394,106
0,0,717,205,102,0,40394,106
0,0,717,213,102,0,40394,106
0,0,784,237,102,0,40394,106
0,0,791,244,102,0,40394,106
