Interface,Bytes Received,Packets Received,Errs Rcv,Drops Rcv,Bytes Sent,Packets Sent,Errs Sent,Drops Sent
enp5s0,9199092516,8021944,0,61628,13249629476,12878410,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182820023,887543,0,0,1182820023,887543,0,0
enp5s0,9199091372,8021930,0,61628,13249591086,12878374,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182820023,887543,0,0,1182820023,887543,0,0
enp5s0,9199090772,8021920,0,61628,13249550802,12878336,0,0
docker0,0,0,0,0,0,0,0,0
lo,1182810541,887536,0,0,1182810541,887536,0,0
enp5s0,9199087232,8021861,0,61628,13249325807,12878159,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183078832,887969,0,0,1183078832,887969,0,0
enp5s0,9200212707,8030897,0,61640,13290156854,12907933,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200212467,8030893,0,61640,13290141775,12907918,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200212109,8030888,0,61640,13290133463,12907908,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200211869,8030884,0,61640,13290118993,12907894,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200211456,8030878,0,61639,13290104049,12907878,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200211173,8030874,0,61639,13290088804,12907860,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200210316,8030867,0,61639,13290071902,12907840,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200209896,8030860,0,61639,13290040094,12907815,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200209356,8030851,0,61639,13290009909,12907789,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183069343,887962,0,0,1183069343,887962,0,0
enp5s0,9200208756,8030841,0,61639,13289957780,12907745,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183059853,887955,0,0,1183059853,887955,0,0
enp5s0,9200208456,8030836,0,61639,13289939102,12907726,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183775520,888530,0,0,1183775520,888530,0,0
enp5s0,9201793815,8051605,0,61675,13397578630,12984357,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183775520,888530,0,0,1183775520,888530,0,0
enp5s0,9201792969,8051591,0,61675,13397520948,12984311,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183766030,888523,0,0,1183766030,888523,0,0
enp5s0,9201792429,8051582,0,61675,13397480829,12984279,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183766030,888523,0,0,1183766030,888523,0,0
enp5s0,9201791883,8051573,0,61675,13397439450,12984246,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183766030,888523,0,0,1183766030,888523,0,0
enp5s0,9201785370,8051552,0,61675,13397358302,12984177,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183765337,888519,0,0,1183765337,888519,0,0
enp5s0,9201783942,8051531,0,61674,13397265596,12984102,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183743993,888507,0,0,1183743993,888507,0,0
enp5s0,9201782982,8051515,0,61674,13397216427,12984055,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183743993,888507,0,0,1183743993,888507,0,0
enp5s0,9201781936,8051498,0,61674,13397151043,12983996,0,0
docker0,0,0,0,0,0,0,0,0
lo,1183743993,888507,0,0,1183743993,888507,0,0
enp5s0,9201776059,8051408,0,61674,13396767603,12983699,0,0
docker0,0,0,0,0,0,0,0,0
