TGID,Kmem Count,Vmem Count,Slab Count
7712,736,1000,733
3649,1000,3,365
7183,1000,132,186
3817,1000,0,212
7712,71,1000,80
13333,1000,0,1
7183,1000,455,187
3649,1000,7,246
3817,1000,0,220
13524,51,110,1000
13333,1000,0,1
13525,71,126,1000
13526,73,131,1000
48,8,5,1000
4486,278,29,1000
3649,1000,17,166
13527,53,110,1000
3649,1000,5,132
13333,1000,0,1
3649,1000,5,393
4926,57,1000,163
13333,1000,0,1
727,371,164,1000
706,1000,84,473
1,1000,4,796
3649,1000,3,184
7183,1000,623,171
3817,1000,0,232
13333,1000,0,1
7183,1000,323,211
3649,1000,5,238
3817,1000,0,205
13333,1000,0,0
3649,1000,5,132
13333,1000,0,1
3649,1000,6,132
13333,1000,0,1
3649,1000,6,132
13333,1000,0,1
13333,1000,0,1
3649,1000,6,132
3649,1000,6,132
13333,1000,0,1
13333,1000,0,1
3649,1000,6,132
13531,52,109,1000
13532,68,121,1000
13533,73,125,1000
72,28,24,1000
4486,257,51,1000
3649,1000,15,255
13333,1000,0,1
13534,51,109,1000
3649,1000,3,181
7712,139,1000,234
7183,1000,721,347
13333,1000,0,1
3649,1000,3,331
7183,1000,140,308
3817,1000,0,213
13204,838,49,1000
7712,800,1000,820
7712,74,1000,154
7183,1000,562,201
727,480,91,1001
727,480,91,1001
706,1000,84,519
1,1000,4,846
13333,1000,0,1
3649,1000,1,397
3817,1000,0,230
13204,683,88,1000
3649,1000,3,164
7183,1000,706,172
3817,1000,0,206
13333,1000,0,1
13204,641,88,1000
3649,1000,6,165
7712,150,1000,138
7183,1000,477,252
3817,1000,0,230
13333,1000,0,1
3649,1000,1,276
3817,1000,0,218
7183,1000,167,174
3649,1000,1,455
13333,1000,0,1
7712,226,1000,212
7183,1000,741,284
13204,644,81,1000
3649,1000,1,372
3817,1000,0,210
13333,1000,0,1
7183,734,1000,312
13204,716,68,1000
7712,199,1000,212
3649,1000,2,416
3817,1000,0,216
7183,1000,158,199
7712,604,1000,528
13333,1000,0,1
13204,658,60,1000
3649,1000,3,337
7183,1000,593,336
3817,1000,0,230
7712,685,1000,707
13333,1000,0,1
3649,1000,5,444
3817,1000,0,213
7183,940,1000,250
13204,674,65,1000
4486,13,0,1000
3649,1000,2,290
13333,1000,0,1
4838,3,1000,2
3817,1000,0,207
7183,374,1000,59
3649,1000,1,230
13204,660,72,1000
13333,1000,1,7
7712,7,1000,2
13333,1000,0,1
3649,1000,7,179
13537,51,103,1000
13538,69,125,1000
13539,54,111,1000
16,32,13,1000
4486,214,23,1000
7712,0,1000,0
13540,51,107,1000
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
3649,1000,8,277
7183,1000,834,174
3817,1000,0,210
727,513,81,1001
727,513,81,1001
706,1000,91,475
1,1000,4,796
3649,1000,6,166
7183,1000,687,279
13333,1000,0,1
7712,500,1000,449
3649,1000,12,160
13333,1000,0,1
3649,1000,2,116
7183,31,1000,40
13333,1000,0,1
3649,1000,8,137
13333,1000,0,1
3649,1000,12,175
13333,1000,0,1
13333,1000,0,1
3649,1000,8,134
3649,1000,7,164
13333,1000,0,1
7183,1000,726,639
7183,1000,131,292
3649,1000,0,544
7712,573,1000,511
13543,51,106,1000
13544,67,124,1000
13545,74,127,1000
54,27,1,1000
13333,1000,0,1
3649,1000,4,257
7183,1000,954,235
13546,52,106,1000
7712,652,910,1000
3817,1000,0,215
7183,1000,394,218
13333,1000,0,1
3649,1000,0,378
3817,1000,0,238
13204,724,49,1000
3649,1000,0,310
3817,1000,0,211
7183,1000,106,246
13204,731,43,1000
13333,1000,0,1
727,401,176,1000
727,402,176,1000
706,1000,88,479
1,1000,4,796
3649,1000,6,185
13333,1000,0,1
727,703,292,1000
3649,1000,7,163
13333,1000,0,1
3649,1000,1,163
7183,1000,324,193
13204,658,78,1000
3649,1000,1,179
7712,53,1000,104
7183,1000,305,264
13204,710,78,1000
13333,1000,0,1
3817,1000,0,235
3649,1000,2,391
7183,1000,172,204
7712,382,1000,366
13204,594,97,1000
3817,1000,0,215
13333,1000,0,1
3649,1000,2,237
7183,266,1000,70
13333,1000,0,1
7712,201,1000,150
3649,1000,2,412
7183,1000,156,301
3817,1000,0,236
3649,1000,1,134
13333,1000,0,1
3649,1000,4,571
13204,801,56,1000
7712,90,1000,114
7183,1000,966,267
13204,725,84,1000
3817,1000,0,219
13333,1000,0,1
3649,1000,1,135
7183,1000,629,175
13333,1000,0,1
13204,716,80,1000
3649,1000,2,233
7712,22,1000,43
7183,1000,938,244
3649,1000,2,296
3817,1000,0,207
13333,1000,0,1
7712,373,1000,421
13204,768,62,1000
7183,1000,102,172
13552,51,103,1000
13553,56,112,1000
13554,70,125,1000
42,65,9,1000
13555,53,106,1000
3649,1000,2,198
4486,219,27,1000
13333,1000,0,1
3817,1000,0,241
7183,1000,104,182
7712,478,1000,435
13204,645,65,1000
3649,1000,1,298
3817,1000,0,203
7183,170,1000,31
13333,1000,0,1
3649,1000,3,125
7712,85,1000,174
727,390,195,1000
727,390,195,1000
727,390,195,1001
727,390,195,1000
706,1000,84,463
1,1000,4,797
7183,743,1000,219
3649,1000,1,511
13333,1000,0,1
13204,760,67,1000
3817,1000,0,216
7183,1000,103,200
7712,491,1000,408
3649,1000,1,228
3817,1000,0,199
13333,1000,0,1
7183,1000,91,277
7712,828,1000,723
3817,1000,0,196
3649,1000,2,439
13204,758,70,1000
13333,1000,0,1
7183,199,1000,60
3649,1000,1,184
7712,88,1000,100
3817,1000,0,239
13204,760,84,1000
7183,1000,170,185
13333,1000,0,1
3649,1000,4,207
3649,1000,6,407
13333,1000,0,1
3649,1000,7,179
7183,707,1000,224
13333,1000,0,1
7712,206,1000,458
7183,821,1000,170
3649,1000,3,434
7712,57,1000,58
3817,1000,0,205
13333,1000,0,1
7183,1000,219,186
3649,1000,3,308
3817,1000,0,209
7183,1000,455,331
13333,1000,1,7
3649,1000,3,366
3817,1000,0,239
7183,798,1000,210
13333,1000,0,1
3649,1000,6,388
13204,910,30,1000
7183,1000,77,779
3649,1000,3,290
7712,655,1000,618
3817,1000,0,225
7712,58,1000,29
13559,51,111,1000
13560,63,114,1000
13562,72,126,1000
42,37,12,1000
13333,1000,0,1
4486,231,23,1000
13563,51,106,1000
7183,939,1000,213
3649,1000,6,268
3817,1000,0,242
13333,1000,0,1
3649,1000,6,140
7183,745,1000,114
7712,301,1000,378
3817,1000,0,233
727,415,203,1000
727,415,203,1001
727,416,203,1002
706,1000,96,477
13333,1000,0,1
1,1000,4,796
7183,613,1000,150
3649,1000,5,176
3649,1000,4,209
7712,234,1000,294
7183,900,1000,245
7712,79,1000,98
13333,1000,0,1
3817,1000,0,231
13204,760,47,1000
7183,637,1000,303
3649,1000,4,454
3817,1000,0,241
7183,1000,316,251
7712,541,1000,549
13333,1000,0,1
3649,1000,1,310
3817,1000,0,204
4336,26,238,1000
7183,1000,382,329
13333,1000,0,1
3649,1000,4,555
3817,1000,0,216
7712,161,1000,222
7183,1000,111,224
3649,1000,2,321
13333,1000,0,1
7712,0,1000,0
3817,1000,0,214
7183,1000,134,205
3649,1000,1,247
3817,1000,0,245
13333,1000,0,1
13204,716,51,1000
7183,282,1000,100
3649,1000,2,253
13333,1000,0,1
3649,1000,1,173
4486,27,5,1000
13333,1000,0,1
7183,1000,905,194
3649,1000,2,246
7712,452,1000,519
3817,1000,0,211
7712,50,1000,58
13204,808,30,1000
7183,1000,95,192
3817,1000,0,220
13333,1000,0,1
3649,1000,0,402
13204,814,55,1000
7183,1000,80,260
3649,1000,2,341
7712,1000,645,953
3817,1000,0,229
13333,1000,0,1
13565,51,102,1000
13566,65,117,1000
13567,72,125,1000
4486,278,50,1000
30,24,10,1000
7183,489,1000,165
3649,1000,7,282
13568,53,108,1000
3817,1000,0,213
13333,1000,0,1
3649,1000,1,232
7183,670,1000,191
7712,24,1000,27
7183,1000,626,255
13204,758,68,1000
3649,1000,0,584
13333,1000,0,1
3817,1000,0,212
7712,259,1000,257
727,459,112,1001
727,459,112,1001
727,459,112,1001
727,459,112,1001
727,460,112,1001
727,460,112,1002
706,1000,87,464
7183,1000,275,184
1,1000,4,796
3649,1000,4,386
3817,1000,0,222
13333,1000,0,1
7712,422,1000,352
7183,1000,119,239
3649,1000,3,421
3817,1000,0,231
13333,1000,0,1
3649,1000,1,250
7183,1000,733,223
3817,1000,0,203
3649,1000,1,274
13333,1000,0,1
3817,1000,0,218
13204,687,76,1000
3649,1000,9,304
13333,1000,0,1
7712,135,1000,75
3817,1000,0,210
13204,680,61,1000
3649,1000,8,341
3817,1000,0,219
7183,1000,34,274
13333,1000,0,1
3649,1000,18,391
13204,651,51,1000
7183,1000,662,258
13333,1000,0,0
3649,1000,3,302
13333,1000,0,1
3649,1000,2,193
13204,676,57,1000
7183,1000,564,251
3817,1000,0,233
13333,1000,0,1
3649,1000,7,168
3649,1000,14,362
3817,1000,0,218
7183,1000,34,268
13333,1000,0,1
3649,1000,4,174
13570,51,105,1000
13571,61,118,1000
13572,60,75,1000
4486,249,23,1000
13333,1000,0,1
60,15,11,1000
13573,52,108,1000
3649,1000,6,287
13333,1000,0,1
3817,1000,0,241
13204,745,47,1000
3649,1000,5,300
7183,1000,369,255
3817,1000,0,241
13333,1000,0,1
3649,1000,1,183
727,414,302,1001
727,414,302,1001
727,414,302,1001
727,415,302,1001
727,415,302,1002
706,1000,84,477
1,1000,4,796
7183,1000,678,300
13333,1000,0,1
7183,806,1000,194
3649,1000,7,267
3817,1000,0,219
13204,768,44,1000
7183,1000,410,347
3649,1000,4,395
13333,1000,0,1
7712,809,1000,660
3817,1000,0,235
13204,743,40,1000
7183,1000,86,317
3649,1000,7,478
3817,1000,0,239
13204,738,49,1000
13333,1000,0,1
7183,1000,64,305
3649,1000,2,374
3817,1000,0,221
13204,728,53,1000
7183,1000,82,271
13333,1000,0,1
3649,1000,8,294
3817,1000,0,210
7183,1000,494,187
3649,1000,6,294
13333,1000,1,7
13333,1000,0,0
3649,1000,6,295
13333,1000,0,1
7712,3,1000,6
3649,1000,7,134
13333,1000,0,1
777,455,2,1000
3649,1000,5,187
7712,36,1000,41
13333,1000,0,1
3649,1000,5,132
13582,62,117,1000
13583,74,117,1000
13584,58,111,1000
4486,198,24,1000
60,34,31,1000
13333,1000,0,1
3649,1000,11,157
13585,57,113,1000
3649,1000,3,123
13333,1000,0,1
7712,19,1000,44
13333,1000,0,1
3649,1000,8,134
727,373,79,1001
727,373,79,1001
727,373,79,1001
706,1000,84,457
1,1000,4,796
13333,1000,0,1
3649,1000,5,125
3649,1000,2,120
13333,1000,0,1
13333,1000,0,1
3649,1000,8,133
3649,1000,8,134
13333,1000,0,1
13333,1000,0,1
3649,1000,8,128
3649,1000,8,135
13333,1000,0,1
3649,1000,8,134
7183,68,1000,98
13333,1000,0,1
3649,1000,8,134
13333,1000,0,1
13588,55,113,1000
13589,70,123,1000
13590,73,129,1000
78,32,7,1000
13591,53,110,1000
3649,1000,8,152
4486,282,34,1000
7712,218,1000,304
7183,1000,288,349
13333,1000,0,1
3649,1000,1,298
3817,1000,0,203
7183,598,1000,217
13333,1000,0,1
3649,1000,4,279
727,384,116,1000
727,384,116,1002
727,384,116,1001
706,1000,93,493
1,1000,4,796
7712,67,1000,111
3817,1000,0,245
7183,1000,248,270
3649,1000,1,355
3817,1000,0,205
13204,717,37,1000
13333,1000,0,1
7183,1000,125,217
7712,281,1000,318
13204,707,56,1000
3649,1000,14,529
3817,1000,0,199
7183,1000,84,310
13333,1000,0,1
3649,1000,4,367
13204,834,25,1000
3817,1000,0,228
7712,1000,924,855
7183,1000,83,244
7712,341,1000,371
3649,1000,20,485
13333,1000,0,1
3817,1000,0,210
13204,700,51,1000
7183,1000,103,196
3649,1000,2,379
3817,1000,0,239
13333,1000,0,1
7183,1000,76,288
3649,1000,3,478
7712,584,1000,470
3817,1000,0,255
7712,92,1000,105
13333,1000,0,1
7183,1000,75,443
13204,805,47,1000
3649,1000,0,402
3817,1000,0,210
7712,23,1000,98
7183,1000,258,337
3649,1000,0,533
13333,1000,1,7
13204,803,57,1000
3817,1000,0,207
7183,179,1000,102
3649,1000,0,368
13333,1000,0,0
3817,1000,0,224
13204,907,22,1000
4486,29,5,1000
7712,1000,497,948
3649,1000,2,180
13204,736,82,1000
7183,1000,63,358
3817,1000,0,210
13333,1000,0,1
7183,1000,71,329
3649,1000,4,371
7712,444,1000,424
13204,830,27,1000
3817,1000,0,248
7183,1000,99,254
13333,1000,0,1
3649,1000,3,349
13204,584,91,1000
3817,1000,0,221
7712,57,1000,52
13594,53,109,1000
13595,69,120,1000
13597,70,129,1000
4486,264,65,1000
13596,266,321,1000
13601,88,239,1000
72,33,30,1000
13204,745,48,1000
7183,1000,675,195
13608,56,113,1000
13333,1000,0,1
3649,1000,5,298
3817,1000,0,226
13601,0,1000,5
13610,88,240,1000
13333,1000,0,1
3649,1000,6,134
727,406,160,1000
727,406,160,1000
706,1000,84,504
1,1000,4,796
13333,1000,0,1
3649,1000,6,135
3649,1000,6,403
13333,1000,0,1
13204,767,44,1000
7712,7,1000,2
3649,1000,6,127
13333,1000,0,1
3649,1000,4,273
13204,651,98,1000
7183,1000,467,188
3817,1000,0,221
13333,1000,0,1
7183,1000,347,183
3649,1000,3,295
3817,1000,0,218
13333,1000,0,1
3649,1000,6,132
13333,1000,0,0
7712,4,1000,1
3649,1000,3,123
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
3649,1000,3,123
13333,1000,0,1
13620,51,96,1000
13621,67,122,1000
13622,71,128,1000
4486,139,18,1000
48,25,22,1000
13623,56,107,1000
3649,1000,4,146
13333,1000,0,1
3649,1000,6,194
7183,1000,640,267
3649,1000,1,570
3817,1000,0,229
7712,655,1000,698
13204,770,54,1000
7183,1000,387,202
727,388,155,1000
727,388,155,1001
706,1000,89,499
1,1000,4,796
13333,1000,0,1
3649,1000,2,193
13204,789,64,1000
7183,1000,361,236
3817,1000,0,216
7712,341,1000,307
13333,1000,0,1
3649,1000,1,187
13204,782,76,1000
3817,1000,0,193
7183,1000,119,194
3649,1000,1,207
7712,513,1000,453
3817,1000,0,237
13333,1000,0,1
7183,1000,62,259
3649,1000,1,396
3817,1000,0,233
13204,727,60,1000
13333,1000,0,1
7183,1000,883,199
3649,1000,1,232
13204,688,88,1000
3817,1000,0,242
13333,1000,0,1
13204,666,93,1000
3649,1000,1,303
3649,1000,1,179
7183,538,1000,172
13333,1000,0,1
7183,1000,799,246
7712,424,1000,390
13204,747,80,1000
3649,1000,1,352
13204,804,72,1000
7712,439,1000,428
3817,1000,0,248
7183,1000,116,185
7712,199,1000,152
3649,1000,1,249
13333,1000,0,1
3817,1000,0,240
13204,686,87,1000
7183,0,1000,0
3649,1000,1,171
13204,699,86,1000
3817,1000,0,234
13333,1000,0,1
7712,912,1000,836
7183,1000,479,207
3649,1000,1,273
3817,1000,0,222
13204,760,84,1000
7183,1000,76,195
13333,1000,0,1
7712,1000,690,751
3649,1000,1,232
3817,1000,0,203
7183,1000,337,229
13633,51,100,1000
13634,71,127,1000
13635,70,126,1000
4486,209,22,1000
30,41,29,1000
13204,691,74,1000
3817,1000,0,212
13333,1000,0,1
3649,1000,5,500
13636,52,105,1000
7712,530,1000,375
7183,1000,107,204
3649,1000,2,319
3817,1000,0,221
13333,1000,0,1
3649,1000,1,308
7183,1000,85,274
3817,1000,0,237
13333,1000,0,0
7712,323,1000,183
727,414,193,1000
727,414,193,1000
727,415,193,1000
727,416,193,1000
706,1000,88,462
1,1000,4,796
13204,738,58,1000
7712,14,1000,73
7183,389,1000,105
13333,1000,0,1
3649,1000,7,230
3649,1000,3,146
13333,1000,0,1
7183,1000,584,171
3649,1000,4,256
13204,716,78,1000
7712,656,1000,592
7712,656,1001,592
7183,1000,975,212
3649,1000,3,362
13333,1000,0,0
7712,656,1000,507
13204,766,42,1000
3817,1000,0,220
3649,1000,1,248
3817,1000,0,224
7183,1000,285,191
13333,1000,0,1
13204,741,49,1000
7712,1000,498,883
3649,1000,1,391
3817,1000,0,214
7183,1000,82,268
13333,1000,0,0
7712,372,1000,473
13204,726,57,1000
3649,1000,0,269
7183,312,1000,67
3817,1000,0,226
13333,1000,0,1
13204,741,43,1000
7712,714,1000,740
3649,1000,1,269
3817,1000,0,215
7183,1000,62,287
13333,1000,0,1
3649,1000,1,371
3817,1000,0,232
7183,1000,113,300
7712,315,1000,228
3649,1000,1,277
7183,1000,92,184
3817,1000,0,243
13333,1000,0,1
3649,1000,1,359
3817,1000,0,234
7183,1000,62,254
13333,1000,0,1
3649,1000,3,376
7183,546,1000,136
13640,54,105,1000
13333,1000,0,0
13641,70,126,1000
13642,70,126,1000
24,29,5,1000
4486,287,40,1000
3649,1000,5,260
13643,51,105,1000
3649,1000,6,293
13333,1000,0,1
3649,1000,3,194
727,384,107,1000
727,384,107,1000
727,384,107,1001
706,1000,86,474
1,1000,4,814
13333,1000,0,1
7183,1000,360,540
3649,1000,1,267
3817,1000,0,216
7183,1000,674,292
13204,699,85,1000
3649,1000,3,420
7712,497,1000,436
13333,1000,1,8
7183,1000,448,214
3817,1000,0,210
7712,330,1000,199
13204,666,93,1000
7183,5,1000,1
3649,1000,1,309
13333,1000,0,0
3817,1000,0,244
3649,1000,0,368
13204,799,51,1000
13333,1000,0,1
7183,1000,794,367
3649,1000,4,652
7712,297,1000,268
7183,1000,368,414
13333,1000,0,1
3649,1000,1,184
3817,1000,1,285
13204,857,45,1000
3649,1000,3,202
