TGID,Kmem Count,Vmem Count,Slab Count
13333,1000,0,1
7712,0,1000,0
3649,1000,5,124
13333,1000,0,1
3649,1000,5,125
727,392,120,1000
727,392,120,1000
727,392,120,1001
706,1000,84,463
1,1000,4,796
13333,1000,1,7
3649,1000,1,120
3649,1000,5,121
13333,1000,0,1
7712,0,1000,0
13333,1000,0,1
3649,1000,6,132
13333,1000,0,1
3649,1000,3,123
13333,1000,0,1
3649,1000,4,124
13333,1000,0,1
3649,1000,3,123
7712,14,1000,28
13333,1000,0,1
3649,1000,3,124
13333,1000,0,1
7183,63,1000,10
3649,1000,5,127
13333,1000,0,1
13387,54,108,1000
13388,72,126,1000
13389,64,116,1000
24,8,5,1000
4486,233,26,1000
3649,1000,14,172
7712,9,1000,12
13390,52,105,1000
13333,1000,0,1
3649,1000,6,132
3649,1000,3,123
13333,1000,0,1
727,453,96,1001
727,453,96,1001
727,453,96,1002
727,454,96,1003
727,455,96,1004
706,1000,89,490
1,1000,4,813
3649,1000,6,131
13333,1000,0,1
3649,1000,5,124
13333,1000,0,1
3649,1000,4,123
13333,1000,0,1
3649,1000,4,123
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
3649,1000,4,125
13333,1000,0,1
3649,1000,8,132
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
3649,1000,4,124
13395,51,105,1000
13333,1000,0,1
13396,55,108,1000
13397,73,126,1000
16,34,8,1000
7712,129,1000,244
3649,1000,13,335
7183,1000,705,486
13398,51,110,1000
3817,1000,0,230
3649,1000,2,258
3817,1000,0,187
13204,691,31,1000
7712,30,1000,96
13333,1000,0,1
7183,1000,178,502
3649,1000,0,441
7712,80,1000,76
7183,535,1000,249
13333,1000,0,1
727,468,65,1000
727,468,66,1000
706,1000,95,472
1,1000,4,831
3649,1000,2,161
7183,1000,388,191
3817,1000,0,195
13333,1000,0,1
3649,1000,13,187
13333,1000,0,1
3649,1000,8,131
7183,45,1000,60
13333,1000,0,1
3649,1000,3,123
13333,1000,0,1
3649,1000,7,133
13333,1000,0,1
3649,1000,4,123
13333,1000,0,1
3649,1000,7,133
13333,1000,0,1
3649,1000,4,404
7183,849,1000,403
3649,1000,2,238
7712,742,1000,631
7183,1000,94,350
3817,1000,0,218
13333,1000,0,1
7712,253,1000,221
3649,1000,2,261
7183,1000,76,249
3817,1000,0,244
13333,1000,0,1
13402,51,104,1000
13403,60,116,1000
13404,73,130,1000
3649,1000,8,383
4486,226,33,1000
16,15,12,1000
7183,1000,640,296
3817,1000,0,214
13405,56,108,1000
13204,792,32,1000
13333,1000,1,7
3649,1000,2,164
13333,1000,0,1
3649,1000,7,165
7183,1000,247,208
3649,1000,2,159
727,349,191,1000
727,350,191,1002
727,350,191,1003
706,1000,84,463
1,1000,4,796
13333,1000,0,1
3649,1000,4,125
3649,1000,4,124
13333,1000,0,1
7712,0,1000,0
13333,1000,0,1
3649,1000,4,119
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
13333,1000,0,1
3649,1000,4,123
4486,23,6,1000
13333,1000,0,1
3649,1000,6,125
3649,1000,8,133
13333,1000,0,1
3649,1000,4,123
13333,1000,0,1
13408,53,107,1000
13409,65,128,1000
13410,71,124,1000
4486,273,31,1000
48,16,13,1000
3649,1000,11,274
13411,55,108,1000
13333,1000,0,1
3649,1000,8,133
13333,1000,0,1
727,363,132,1000
727,363,132,1001
727,364,132,1001
727,365,132,1001
727,365,132,1002
727,365,132,1003
706,1000,88,468
1,1000,4,808
13333,1000,0,1
3649,1000,7,133
3649,1000,8,133
13333,1000,0,1
3649,1000,2,116
13333,1000,0,1
3649,1000,5,146
13333,1000,0,1
3649,1000,7,163
7183,1000,304,266
3649,1000,4,535
3817,1000,0,229
13204,798,33,1000
13333,1000,0,1
7712,1000,522,946
7183,1000,90,245
7183,1000,90,244
7183,1000,90,244
7712,342,1000,255
13204,682,74,1000
3649,1000,0,386
3817,1000,0,245
7712,131,1000,146
13333,1000,0,1
7183,1000,118,322
3649,1000,1,217
3817,1000,0,202
13204,791,64,1000
13333,1000,0,1
3649,1000,6,197
3649,1000,1,117
13333,1000,0,1
3649,1000,5,118
13333,1000,0,1
3649,1000,1,111
13413,51,104,1000
13414,72,116,1000
13415,73,124,1000
4486,260,32,1000
72,18,15,1000
13333,1000,0,1
3649,1000,9,286
13416,51,103,1000
7712,9,1000,15
3649,1000,6,126
13333,1000,0,1
3649,1000,4,118
13333,1000,0,1
727,373,148,1000
727,373,148,1000
727,374,148,1000
706,1000,84,495
1,1000,4,796
3649,1000,7,133
13333,1000,0,1
7712,171,1000,278
7712,29,1000,30
7183,1000,657,369
3649,1000,4,330
7183,1000,103,233
3817,1000,0,248
13333,1000,0,1
7712,249,1000,253
3649,1000,2,298
3817,1000,0,221
13204,722,72,1000
7183,1000,513,273
13333,1000,0,1
3649,1000,2,366
7712,67,1000,70
13204,811,62,1000
3817,1000,0,203
7183,1000,71,341
13204,760,78,1000
13333,1000,0,1
3649,1000,4,318
