1ms,4ms,16ms,32ms,64ms,128ms,256ms,256ms+
410,11540,11724,612,76,44,25,2
414,11550,11738,612,76,44,25,2
414,11653,11823,613,76,44,25,2
414,11753,11905,613,76,44,25,2
420,11771,11940,618,76,44,25,2
420,11822,12359,618,76,44,25,2
424,11867,12417,622,76,44,25,2
424,12088,12611,622,76,44,25,2
424,12106,12635,622,76,44,25,2
424,12223,12722,622,76,44,25,2
424,12429,12802,622,76,44,25,2
428,12609,12942,622,76,44,25,2
428,12613,12946,626,76,44,25,2
428,12770,13093,636,76,44,25,2
431,12842,13269,638,76,44,25,2
431,13051,13348,638,76,44,25,2
435,13208,13589,638,76,44,25,2
435,13442,13693,638,76,44,25,2
435,13608,13897,638,76,44,25,2
441,13677,14002,643,76,44,25,2
441,13693,14045,643,76,44,25,2
445,13696,14055,643,76,44,25,2
445,13782,14180,643,76,44,25,2
445,13804,14274,643,76,44,25,2
445,13904,14363,643,76,44,25,2
445,13963,14474,643,76,44,25,2
456,14165,14603,643,76,44,25,2
456,14493,14781,643,76,44,25,2
456,14795,14946,643,76,44,25,2
459,15075,15081,643,76,44,25,2
459,15253,15311,643,76,44,25,2
463,15333,15467,643,76,44,25,2
463,15368,15501,644,76,44,25,2
463,15370,15662,646,76,44,25,2
469,15419,15758,660,76,44,25,2
469,15491,15870,660,76,44,25,2
473,15668,16075,660,76,44,25,2
473,15826,16155,660,76,44,25,2
473,16146,16352,660,76,44,25,2
473,16271,16490,660,76,44,25,2
473,16371,16790,660,76,44,25,2
477,16428,16986,663,76,45,25,2
477,16541,17323,663,76,46,25,2
477,16746,17453,663,76,46,25,2
480,16756,17456,663,76,46,25,2
480,16756,17480,663,76,46,25,2
484,16844,17699,666,76,46,25,2
484,16844,17733,666,76,46,25,2
484,16855,17832,680,76,46,25,2
490,16923,17918,685,76,46,25,2
490,16930,17947,685,76,46,25,2
494,16980,18038,698,76,46,25,2
494,16986,18067,698,76,46,25,2
494,16986,18071,706,76,46,25,2
494,17027,18155,721,77,46,25,2
494,17047,18167,721,77,46,25,2
498,17060,18217,724,77,46,25,2
498,17060,18231,728,77,46,25,2
498,17060,18231,730,88,46,25,2
501,17062,18231,738,103,46,25,2
501,17064,18240,753,104,46,25,2
505,17067,18240,765,107,46,25,2
505,17067,18240,773,117,46,25,2
512,17067,18258,793,118,46,25,2
518,17150,18431,798,118,46,25,2
518,17247,18551,798,118,46,25,2
522,17369,18620,798,118,46,25,2
522,17430,18697,798,118,46,25,2
522,17441,18719,808,118,46,25,2
522,17674,18844,808,118,46,25,2
522,17849,18997,808,118,46,25,2
526,17911,19096,808,118,46,25,2
526,17969,19165,808,118,46,25,2
526,18119,19225,808,118,46,25,2
529,18209,19318,808,118,46,25,2
529,18576,19426,808,118,46,25,2
533,18968,19507,808,118,46,25,2
533,19238,19646,808,118,46,25,2
533,19386,19786,832,128,46,25,2
539,19514,19822,837,128,46,25,2
539,19524,19828,846,128,46,25,2
543,19527,19828,847,141,46,25,2
543,19527,19838,856,148,46,25,2
543,19527,19838,872,153,46,25,2
543,19529,19871,887,153,46,25,2
543,19611,19930,887,153,46,25,2
547,19633,20013,887,153,46,25,2
547,19808,20161,887,153,46,25,2
547,19908,20231,889,153,46,25,2
550,20143,20303,890,153,46,25,2
550,20286,20336,890,153,46,25,2
554,20367,20377,890,153,46,25,2
554,20458,20418,890,153,46,25,2
554,20516,20477,890,153,46,25,2
560,20528,20508,901,153,46,25,2
560,20589,20574,902,153,46,25,2
571,20691,20639,906,153,46,25,2
571,20760,20678,906,153,46,25,2
571,20801,20757,912,153,46,25,2
571,21025,20964,921,153,46,25,2
571,21085,21016,926,153,46,25,2
575,21147,21060,926,153,46,25,2
575,21209,21373,936,153,46,25,2
4,13,109,2,0,0,0,0
4,349,286,10,0,0,0,0
4,466,347,20,0,0,0,0
13,595,401,25,0,0,0,0
34,595,413,37,0,0,0,0
40,610,475,37,0,0,0,0
40,622,477,52,0,0,0,0
40,622,477,65,2,0,0,0
40,622,477,65,6,0,0,0
40,622,477,67,19,0,0,0
44,625,477,71,26,0,0,0
44,625,477,71,33,0,0,0
44,625,477,71,41,0,0,0
47,627,477,71,48,0,0,0
47,627,477,71,54,0,0,0
52,631,477,71,57,0,0,0
52,631,477,71,65,0,0,0
52,631,477,71,74,0,0,0
60,631,477,76,84,0,0,0
60,631,477,76,94,0,0,0
65,637,477,76,98,0,0,0
65,637,477,76,106,0,0,0
65,637,477,76,115,0,0,0
65,637,477,76,121,0,0,0
65,637,477,76,133,0,0,0
70,641,477,76,143,0,0,0
70,641,477,76,150,0,0,0
70,641,477,77,165,0,0,0
76,643,479,96,165,0,0,0
76,643,479,108,169,0,0,0
80,646,479,120,169,0,0,0
80,646,479,136,170,0,0,0
80,646,479,136,179,0,0,0
86,646,479,141,186,0,0,0
86,646,479,141,194,0,0,0
90,651,479,141,200,0,0,0
92,655,479,141,208,0,0,0
92,655,479,141,215,0,0,0
92,655,479,141,218,0,0,0
92,655,479,141,223,0,0,0
96,658,479,141,232,0,0,0
96,732,600,146,241,0,0,0
96,733,614,146,241,0,0,0
101,907,775,146,241,0,0,0
101,981,819,146,241,0,0,0
105,1021,927,152,241,0,0,0
106,1022,1010,152,241,0,2,0
106,1022,1032,152,241,0,2,0
112,1023,1085,157,241,0,2,0
112,1023,1085,160,241,0,2,0
116,1037,1267,168,241,35,2,0
117,1040,1269,170,241,37,2,0
117,1040,1269,173,242,39,2,0
120,1054,1426,179,245,39,2,0
120,1054,1427,179,245,39,2,0
124,1057,1427,179,245,40,2,0
125,1058,1432,179,245,40,2,0
125,1105,1764,179,245,40,2,0
128,1113,1844,179,245,40,2,0
128,1113,1844,179,245,40,2,0
132,1116,1844,179,245,40,2,0
132,1116,1847,179,245,40,2,0
132,1116,1849,179,245,40,2,0
138,1116,1851,184,245,40,2,0
138,1117,1855,184,245,40,2,0
142,1140,2055,185,245,40,2,0
144,1142,2055,189,246,40,2,0
151,1153,2252,196,249,40,2,0
153,1171,2370,196,249,40,2,0
153,1171,2378,197,249,40,2,0
157,1174,2378,207,249,40,2,0
157,1181,2454,213,252,40,2,0
157,1181,2527,221,252,40,2,0
160,1183,2530,222,252,40,2,0
160,1183,2531,229,252,40,2,0
164,1186,2531,233,252,40,2,0
164,1186,2531,239,259,40,2,0
165,1187,2531,272,270,40,2,0
174,1187,2554,293,274,40,8,16
174,1187,2554,293,285,40,41,81
178,1190,2554,301,297,40,96,234
178,1190,2581,334,304,40,135,307
179,1191,2752,361,309,40,180,333
179,1191,2982,432,309,40,221,394
179,1191,3257,433,309,40,228,438
183,1194,3470,438,309,40,254,456
183,1194,3567,474,309,40,341,478
184,1195,3674,484,309,40,680,517
187,1197,3959,511,309,40,1078,543
187,1197,3997,517,309,40,1425,557
191,1200,4011,545,309,40,1758,588
192,1200,4062,574,309,40,1793,600
192,1200,4085,594,309,40,1994,618
200,1200,4085,599,311,40,2467,646
207,1200,4094,612,316,40,3118,660
211,1203,4101,649,319,40,3573,682
211,1203,4112,659,319,40,3745,694
211,1203,4112,682,319,40,3904,730
211,1203,4112,691,319,40,4268,769
211,1203,4112,704,322,40,4586,814
215,1206,4112,708,322,40,5250,849
215,1206,4112,721,325,40,5742,860
215,1206,4112,733,325,40,6204,868
221,1208,4112,754,325,40,6567,891
221,1208,4112,771,325,40,6832,925
225,1211,4185,795,331,40,7116,975
225,1211,4396,809,331,40,7723,1030
225,1211,4396,815,339,40,8054,1048
231,1211,4538,857,347,40,8474,1049
231,1211,4538,860,348,40,8645,1055
235,1214,4570,902,351,40,8747,1077
242,1214,4570,905,351,40,8889,1095
242,1214,4572,935,357,40,9029,1129
242,1214,4611,949,357,40,9123,1147
242,1214,4617,964,360,40,9252,1159
246,1217,4636,984,360,40,9651,1169
246,1217,4636,1010,361,40,9853,1184
246,1217,4662,1016,361,40,10376,1187
251,1219,4673,1028,361,40,10605,1218
251,1219,4674,1043,361,40,11183,1252
255,1222,4674,1062,361,40,11546,1303
262,1222,4674,1086,361,40,11610,1398
262,1222,4674,1089,361,40,11943,1475
268,1222,4678,1113,362,40,12078,1549
268,1222,4679,1129,362,40,12290,1615
272,1225,4727,1147,362,40,12314,1706
272,1225,4748,1159,363,40,12392,1756
279,1225,5233,1177,363,40,12614,1769
282,1225,5441,1182,363,40,12758,1821
282,1225,5729,1182,363,40,12836,1853
286,1228,5732,1201,363,40,12920,1865
293,1228,5732,1205,363,40,13118,1897
293,1228,5735,1253,366,40,13359,1926
296,1230,5735,1265,366,40,13409,1952
296,1230,5735,1268,367,40,13532,1966
300,1233,5735,1276,377,40,13668,1983
300,1233,5735,1278,381,40,13881,1997
300,1233,5735,1281,387,40,14043,2000
306,1233,5735,1292,392,40,14095,2002
306,1233,5754,1303,392,40,14095,2002
310,1236,5755,1306,392,40,14095,2002
310,1236,5755,1309,393,40,14095,2002
310,1236,5755,1309,397,40,14095,2002
312,1236,5755,1309,400,40,14095,2002
312,1236,5755,1309,414,40,14095,2002
316,1277,5800,1315,418,40,14095,2002
316,1277,5824,1315,418,40,14095,2002
