TGID,Kids Length,Total Percent
7712,28,51.000000
3649,1,72.000000
7183,56,60.000000
3636,1,71.000000
7183,57,40.000000
7712,28,30.000000
7183,57,60.000000
3649,1,20.000000
7712,28,40.000000
3636,1,20.000000
3649,1,0.000000
3636,1,55.000000
7183,57,20.000000
7183,57,30.000000
3636,1,55.000000
7712,28,42.000000
7183,57,40.000000
7712,28,31.000000
3636,1,10.000000
7183,57,60.000000
3649,1,10.000000
7712,28,32.000000
7183,57,50.000000
3636,1,31.000000
7712,28,21.000000
7183,57,60.000000
7712,28,71.000000
7183,57,40.000000
3636,1,62.000000
7712,28,20.000000
7183,57,10.000000
7712,28,20.000000
3636,1,22.000000
3636,1,20.000000
7712,28,118.000000
7183,57,20.000000
3636,1,71.000000
3636,1,34.000000
7183,57,41.000000
7712,28,0.000000
3636,1,33.000000
7183,57,50.000000
7712,28,40.000000
3636,1,14.000000
7183,57,20.000000
7712,28,30.000000
4486,83,77.000000
7183,57,50.000000
4486,83,91.000000
7712,28,63.000000
3636,1,63.000000
7183,57,50.000000
7712,28,18.000000
3636,1,72.000000
7183,57,50.000000
7712,28,10.000000
3636,1,34.000000
7183,57,20.000000
7712,28,20.000000
3636,1,63.000000
3636,1,75.000000
7183,57,30.000000
7183,58,90.000000
7183,58,20.000000
7712,28,20.000000
7183,58,60.000000
3636,1,31.000000
3649,1,20.000000
3636,1,78.000000
7712,28,113.000000
7183,58,10.000000
727,16,92.000000
7183,58,40.000000
3649,1,20.000000
3636,1,43.000000
7183,58,10.000000
3636,1,25.000000
7183,58,0.000000
7712,27,20.000000
7183,58,60.000000
7712,27,72.000000
7183,58,10.000000
3636,1,71.000000
7712,27,38.000000
7183,58,60.000000
4486,83,0.000000
4486,83,95.000000
3636,1,37.000000
3636,1,48.000000
4486,83,86.000000
7712,27,10.000000
7183,58,42.000000
3636,1,74.000000
3649,1,30.000000
7183,58,84.000000
7712,27,50.000000
3636,1,77.000000
7183,58,21.000000
3636,1,104.000000
3649,1,40.000000
7183,58,80.000000
7712,27,50.000000
7183,58,20.000000
3636,1,0.000000
3649,1,40.000000
7712,27,40.000000
7183,58,73.000000
3636,1,74.000000
7712,27,61.000000
3649,1,10.000000
7183,58,84.000000
3636,1,75.000000
3649,1,60.000000
727,16,90.000000
3636,1,75.000000
3649,1,0.000000
7183,58,60.000000
7712,27,10.000000
3649,1,61.000000
7712,27,66.000000
7183,58,61.000000
3636,1,75.000000
3649,1,62.000000
7183,58,60.000000
7712,27,10.000000
3636,1,70.000000
3649,1,60.000000
7712,27,30.000000
7183,57,40.000000
3636,1,10.000000
7712,27,31.000000
7183,57,40.000000
3636,1,0.000000
7712,27,0.000000
7183,57,40.000000
3636,1,51.000000
3636,1,0.000000
7712,27,10.000000
7183,57,40.000000
7712,27,62.000000
3636,1,0.000000
4486,82,0.000000
7183,57,60.000000
4486,84,96.000000
4486,1,93.000000
4486,1,93.000000
3649,1,21.000000
3636,1,24.000000
3636,1,50.000000
7712,27,104.000000
7183,57,10.000000
3636,1,61.000000
3649,1,10.000000
7183,57,50.000000
3636,1,40.000000
7712,27,20.000000
7183,57,30.000000
7712,27,20.000000
7183,57,30.000000
7712,27,50.000000
3636,1,44.000000
3636,1,78.000000
7183,57,20.000000
7183,57,10.000000
7712,27,83.000000
3636,1,76.000000
7183,56,0.000000
7712,27,41.000000
3636,1,0.000000
7183,56,60.000000
7712,27,88.000000
7183,56,30.000000
7712,27,30.000000
7183,56,50.000000
7712,27,20.000000
7183,56,40.000000
3636,1,43.000000
7712,27,40.000000
7183,56,50.000000
7712,27,20.000000
3636,1,53.000000
7183,56,10.000000
3636,1,13.000000
7712,27,13.000000
7183,56,42.000000
3636,1,86.000000
3649,1,52.000000
7712,27,40.000000
7183,56,82.000000
7183,56,32.000000
3636,1,81.000000
7712,27,50.000000
3649,1,20.000000
7183,56,70.000000
7712,27,61.000000
7712,29,30.000000
3636,1,11.000000
4486,1,20.000000
7712,29,30.000000
3649,1,0.000000
3636,1,76.000000
7183,56,70.000000
7712,29,61.000000
7183,56,20.000000
7183,56,20.000000
3636,1,13.000000
3649,1,22.000000
7183,56,71.000000
3636,1,60.000000
7712,29,0.000000
7183,56,70.000000
3636,1,70.000000
3649,1,54.000000
7712,29,42.000000
7712,29,94.000000
7183,56,50.000000
7183,56,60.000000
3636,1,86.000000
3649,1,60.000000
7712,29,50.000000
7183,56,71.000000
3636,1,70.000000
3649,1,30.000000
7712,29,40.000000
7183,56,20.000000
7712,29,41.000000
3649,1,10.000000
3636,1,48.000000
7183,56,73.000000
3649,1,71.000000
3636,1,50.000000
7712,29,20.000000
7712,29,120.000000
7183,56,60.000000
3636,1,50.000000
3649,1,20.000000
7183,56,60.000000
7712,29,30.000000
3636,1,0.000000
7183,56,50.000000
7712,29,31.000000
3636,1,22.000000
7183,56,30.000000
7183,56,20.000000
7712,29,20.000000
3636,1,46.000000
7183,56,40.000000
7712,29,43.000000
7183,56,60.000000
7712,29,30.000000
7183,56,10.000000
7712,29,41.000000
727,16,90.000000
3636,1,37.000000
7712,29,0.000000
3636,1,0.000000
7183,56,30.000000
7712,29,21.000000
3636,1,30.000000
7183,56,30.000000
3636,1,33.000000
7183,56,30.000000
3649,1,33.000000
7712,29,20.000000
3636,1,60.000000
7183,56,60.000000
3649,1,52.000000
7712,29,0.000000
7183,56,0.000000
7712,29,0.000000
7183,56,0.000000
4486,1,30.000000
3636,1,0.000000
7183,56,20.000000
3649,1,10.000000
4486,1,50.000000
7712,29,0.000000
3636,1,52.000000
7712,29,26.000000
3636,1,10.000000
7183,56,10.000000
3636,1,80.000000
7712,29,21.000000
7183,56,50.000000
7712,29,64.000000
7183,56,50.000000
3636,1,30.000000
7183,56,0.000000
3636,1,77.000000
3649,1,21.000000
7712,29,51.000000
3636,1,72.000000
7183,56,40.000000
7183,57,84.000000
4486,1,97.000000
7712,29,0.000000
3636,1,90.000000
7183,57,10.000000
7183,57,30.000000
727,16,91.000000
3636,1,44.000000
7712,29,62.000000
3636,1,0.000000
7183,57,0.000000
3636,1,40.000000
3636,1,21.000000
7712,29,37.000000
7183,57,70.000000
3636,1,80.000000
7712,29,0.000000
7183,57,10.000000
7183,57,10.000000
3636,1,30.000000
7712,28,32.000000
7183,57,50.000000
3636,1,33.000000
7712,28,20.000000
7183,57,50.000000
4486,1,30.000000
4486,1,30.000000
4486,1,31.000000
4486,1,33.000000
4486,1,33.000000
4486,1,90.000000
4486,1,90.000000
7183,57,30.000000
7183,57,30.000000
3636,1,10.000000
4486,1,10.000000
7183,57,10.000000
3636,1,0.000000
727,16,93.000000
7183,57,40.000000
7183,57,0.000000
3649,1,53.000000
3636,1,70.000000
7183,57,50.000000
3636,1,50.000000
