PID,Command,Read Count,Write Count
5075,cpptools,450,0
5270,cpptools-srv,450,0
5273,cpptools-srv,0,450
5229,cpptools,0,450
5226,cpptools,0,450
5227,cpptools,0,450
5228,cpptools,0,450
5271,cpptools-srv,0,450
5272,cpptools-srv,0,450
8188,cpptools-srv,450,0
4993,code,264,400
4981,Chrome_ChildIOT,0,100
10776,os_spy,10,50
4982,VizCompositorTh,50,0
1652,prometheus-node,450,18
1651,prometheus-node,450,0
8120,prometheus-node,450,9
1655,prometheus-node,450,9
1653,prometheus-node,450,0
1656,prometheus-node,450,0
1649,prometheus-node,450,0
818,prometheus-node,450,18
10776,os_spy,36,150
4993,code,216,400
4838,code,250,115
4981,Chrome_ChildIOT,0,150
4846,Chrome_IOThread,90,150
4982,VizCompositorTh,100,0
10776,os_spy,24,150
3780,gdbus,108,450
3799,gdbus,180,450
3826,gdbus,207,450
3777,ibus-daemon,450,297
3783,ibus-ui-gtk3,450,207
10788,jspawnhelper,450,9
10789,bash,450,0
10776,os_spy,24,100
7183,firefox,50,32
7712,Isolated Web Co,200,108
7724,IPC I/O Child,22,50
10804,StreamT~ns #232,450,0
10805,StreamT~ns #233,450,0
7712,Isolated Web Co,350,217
7183,firefox,400,232
10776,os_spy,36,150
7724,IPC I/O Child,17,50
7712,Isolated Web Co,300,150
7724,IPC I/O Child,6,100
7183,firefox,100,64
7712,Isolated Web Co,250,125
10776,os_spy,36,150
7183,firefox,300,270
7724,IPC I/O Child,0,100
7298,Cache2 I/O,450,171
7280,IPC I/O Parent,0,350
7426,Privileged Cont,300,132
7440,IPC I/O Child,0,250
7712,Isolated Web Co,400,216
10776,os_spy,18,150
7724,IPC I/O Child,4,200
7364,Softwar~cThread,0,50
7183,firefox,350,210
3799,gdbus,162,450
3780,gdbus,126,350
7298,Cache2 I/O,400,192
7280,IPC I/O Parent,0,400
7712,Isolated Web Co,400,264
7724,IPC I/O Child,36,100
3780,gdbus,99,450
1663,prometheus-node,450,0
1654,prometheus-node,450,0
1651,prometheus-node,450,0
817,prometheus-node,450,0
1653,prometheus-node,450,0
818,prometheus-node,450,0
8120,prometheus-node,450,0
1652,prometheus-node,450,0
7183,firefox,150,87
7712,Isolated Web Co,350,203
10776,os_spy,27,150
7724,IPC I/O Child,0,100
7712,Isolated Web Co,250,145
3780,gdbus,135,450
3799,gdbus,180,450
7183,firefox,350,280
10776,os_spy,66,300
7712,Isolated Web Co,400,288
10776,os_spy,77,350
7724,IPC I/O Child,22,50
7712,Isolated Web Co,400,320
7724,IPC I/O Child,54,100
10776,os_spy,88,400
3780,gdbus,161,350
7183,firefox,350,252
7712,Isolated Web Co,350,231
7724,IPC I/O Child,39,150
10815,cron,450,0
7712,Isolated Web Co,200,168
10776,os_spy,12,50
7183,firefox,50,32
7712,Isolated Web Co,50,27
4428,prometheus,450,9
7183,firefox,250,150
7712,Isolated Web Co,150,81
10776,os_spy,12,50
7724,IPC I/O Child,4,100
7712,Isolated Web Co,400,208
10818,StreamT~ns #126,450,0
10819,StreamT~ns #126,450,0
10776,os_spy,66,300
7724,IPC I/O Child,0,100
7712,Isolated Web Co,250,140
7724,IPC I/O Child,5,50
3780,gdbus,126,450
7183,firefox,100,62
7712,Isolated Web Co,350,252
10817,StreamT~ns #180,450,0
10776,os_spy,36,150
10820,StreamT~ns #133,450,0
7724,IPC I/O Child,34,50
7712,Isolated Web Co,350,308
3780,gdbus,144,450
7183,firefox,450,225
10776,os_spy,12,50
7298,Cache2 I/O,450,9
7724,IPC I/O Child,32,100
7712,Isolated Web Co,400,288
10776,os_spy,6,50
7183,firefox,250,180
7298,Cache2 I/O,450,45
7712,Isolated Web Co,350,273
10776,os_spy,12,50
7183,firefox,450,324
10821,StreamT~ns #126,450,0
7712,Isolated Web Co,300,192
7298,Cache2 I/O,450,45
1663,prometheus-node,450,0
818,prometheus-node,450,9
727,prometheus-node,450,0
1657,prometheus-node,450,0
1656,prometheus-node,450,0
1654,prometheus-node,450,9
817,prometheus-node,450,0
1652,prometheus-node,450,0
1655,prometheus-node,450,9
1651,prometheus-node,450,279
10824,StreamT~ns #132,450,0
10776,os_spy,24,150
7183,firefox,150,108
7712,Isolated Web Co,200,128
7298,Cache2 I/O,450,36
7712,Isolated Web Co,150,102
10776,os_spy,36,150
7712,Isolated Web Co,250,150
7712,Isolated Web Co,350,175
7183,firefox,450,279
7298,Cache2 I/O,450,72
10776,os_spy,12,50
7712,Isolated Web Co,350,301
10776,os_spy,44,200
7183,firefox,450,306
10776,os_spy,12,50
7298,Cache2 I/O,450,9
1657,prometheus-node,450,9
1649,prometheus-node,450,0
1651,prometheus-node,450,0
1655,prometheus-node,450,0
1653,prometheus-node,450,0
1652,prometheus-node,450,0
727,prometheus-node,450,9
10776,os_spy,36,150
817,prometheus-node,450,9
1650,prometheus-node,450,0
1652,prometheus-node,450,0
1654,prometheus-node,450,0
1651,prometheus-node,450,0
1649,prometheus-node,450,18
727,prometheus-node,450,0
1655,prometheus-node,423,450
10776,os_spy,18,150
1663,prometheus-node,450,18
1657,prometheus-node,450,0
