Timestamp,PID,Comm,Delay_us
2024-12-24 13:38:40.508876584,11072,python3,39050
2024-12-24 13:38:41.001763571,11071,python3,39886
2024-12-24 13:38:41.648468648,4993,code,150852758
2024-12-24 13:38:45.823523795,4354,grafana,45449646
2024-12-24 13:38:48.598066276,7283,Socket Thread,48131
2024-12-24 13:38:49.510984830,11073,python3,38915
2024-12-24 13:39:28.576127924,707,NetworkManager,223157407
2024-12-24 13:39:28.577555190,11077,I/O pool 61,185637583
2024-12-24 13:39:28.632421495,707,NetworkManager,280099527
2024-12-24 13:39:28.963124815,11077,I/O pool 61,19308
2024-12-24 13:39:33.423189816,11072,python3,37110
2024-12-24 13:39:58.828150976,10745,DefaultDispatch,183674135
2024-12-24 13:40:19.327062788,11072,python3,38430
2024-12-24 13:40:49.092962590,4917,Chrome_ChildIOT,71458394
2024-12-24 13:40:54.207769275,11072,python3,57016
2024-12-24 13:41:24.274882326,11072,python3,29396
2024-12-24 13:42:04.368005307,11072,python3,43327
2024-12-24 13:42:41.253440230,11072,python3,38175
2024-12-24 13:43:14.332430031,11072,python3,39850
2024-12-24 14:15:42.708240505,12071,python3,41248
2024-12-24 14:15:42.713373048,12069,python3,22871
2024-12-24 14:15:42.717404821,12070,python3,20722
2024-12-24 14:16:28.076361116,4917,Chrome_ChildIOT,79571948
2024-12-24 14:16:45.674639888,12070,python3,39023
2024-12-24 14:16:56.195292891,12116,python3,240602560
2024-12-24 14:16:56.202959533,12123,python3,248336320
2024-12-24 14:16:56.210965185,12121,python3,256244689
2024-12-24 14:16:56.211306061,12118,python3,256645621
2024-12-24 14:16:56.212990103,12124,python3,258302927
2024-12-24 14:16:56.218619317,12115,python3,263918032
2024-12-24 14:16:56.220571517,12122,python3,265933330
2024-12-24 14:16:56.221048386,12117,python3,266338725
2024-12-24 14:16:57.268547271,12120,python3,1313802518
2024-12-24 14:16:57.274532339,12119,python3,1319988012
2024-12-24 14:17:02.537230984,12115,python3,244002700
2024-12-24 14:17:03.174624584,12116,python3,254131700
2024-12-24 14:17:03.347833815,12121,python3,250043574
2024-12-24 14:17:03.365889810,12123,python3,244868828
2024-12-24 14:17:03.366576501,12118,python3,257782504
2024-12-24 14:17:03.374370571,12124,python3,246612952
2024-12-24 14:17:03.382382991,12122,python3,254708728
2024-12-24 14:17:03.387861238,12117,python3,260203303
2024-12-24 14:17:03.590852906,12119,python3,259738584
2024-12-24 14:17:05.106525549,12120,python3,238825868
2024-12-24 14:17:07.586924767,12124,python3,260575382
2024-12-24 14:17:08.905059868,12115,python3,247934580
2024-12-24 14:17:09.130980884,12121,python3,245537446
2024-12-24 14:17:09.456412128,12120,python3,255719334
2024-12-24 14:17:09.693286349,12118,python3,252942736
2024-12-24 14:17:10.235961038,12116,python3,243993879
2024-12-24 14:17:10.343716283,12123,python3,255245847
2024-12-24 14:17:10.680971604,12119,python3,246793121
2024-12-24 14:17:11.464782080,12117,python3,1299978183
2024-12-24 14:17:12.543831771,12070,python3,43744
2024-12-24 14:17:12.643774136,12122,python3,239605763
2024-12-24 14:17:13.339335561,12121,python3,252206210
2024-12-24 14:17:14.404616793,12116,python3,248775643
2024-12-24 14:17:14.934933182,12124,python3,1305302666
2024-12-24 14:17:15.203091672,12115,python3,249223539
2024-12-24 14:17:15.747632547,12120,python3,241130256
2024-12-24 14:17:15.990731904,12118,python3,256735206
2024-12-24 14:17:16.657673666,12123,python3,245724233
2024-12-24 14:17:17.754549426,12117,python3,252888321
2024-12-24 14:17:18.808893299,12116,python3,255470362
2024-12-24 14:17:19.642347918,12121,python3,251486549
2024-12-24 14:17:20.032501611,12119,python3,254198142
2024-12-24 14:17:20.996682160,12123,python3,241203101
2024-12-24 14:17:21.248599532,12124,python3,246064827
2024-12-24 14:17:22.162620625,12122,python3,247268850
2024-12-24 14:17:22.356823015,12118,python3,261169972
2024-12-24 14:17:22.762729909,12120,python3,246829825
2024-12-24 14:17:23.181576528,12115,python3,1248203048
2024-12-24 14:17:24.812819621,12117,python3,251246395
2024-12-24 14:17:25.092011246,12116,python3,240080435
2024-12-24 14:17:25.320152545,12123,python3,240384445
2024-12-24 14:17:25.956387029,12121,python3,256499916
2024-12-24 14:17:26.331480387,12119,python3,254264960
2024-12-24 14:17:27.990251625,12120,python3,1264567642
2024-12-24 14:17:28.455544269,12122,python3,249960882
2024-12-24 14:17:28.497201578,12124,python3,242806161
2024-12-24 14:17:28.785804708,12070,python3,30899
2024-12-24 14:17:30.745308778,12118,python3,2346011096
2024-12-24 14:17:31.131705503,12117,python3,253007044
2024-12-24 14:17:31.581985618,12123,python3,243390692
2024-12-24 14:17:32.859873910,12115,python3,1317817781
2024-12-24 14:17:33.018276069,12121,python3,252047455
2024-12-24 14:17:34.321461824,12116,python3,275047711
2024-12-24 14:17:35.056053814,12120,python3,244654757
2024-12-24 14:17:35.470657717,12119,python3,2322662645
2024-12-24 14:17:35.513093722,12124,python3,258575844
2024-12-24 14:17:36.522690017,12122,python3,261046856
2024-12-24 14:17:37.031073174,12118,python3,251829467
2024-12-24 14:17:38.061961357,12121,python3,269583880
2024-12-24 14:17:38.196753983,12117,python3,261516982
2024-12-24 14:17:38.639351707,12115,python3,235213147
2024-12-24 14:17:38.870523775,12123,python3,1257978991
2024-12-24 14:17:39.379358270,12069,python3,33427
2024-12-24 14:17:40.472002817,12120,python3,1268695482
2024-12-24 14:17:41.851328825,12124,python3,262078032
2024-12-24 14:17:42.434300648,12116,python3,1273323881
2024-12-24 14:17:43.344498167,12119,python3,260863150
2024-12-24 14:17:43.570539424,12122,python3,248588261
2024-12-24 14:17:44.372341340,12121,python3,247932432
2024-12-24 14:17:44.504725891,12117,python3,245203766
2024-12-24 14:17:44.690063864,12115,python3,1255792412
2024-12-24 14:17:44.858834957,12071,python3,29650
2024-12-24 14:17:45.399368822,12118,python3,2315761176
2024-12-24 14:17:45.954950392,12123,python3,247936430
2024-12-24 14:17:47.531790787,12120,python3,248559566
2024-12-24 14:17:48.169114239,12124,python3,257813954
2024-12-24 14:17:49.228808663,12116,python3,265285744
2024-12-24 14:17:49.439476338,12070,python3,25933
2024-12-24 14:17:50.669681742,12121,python3,249578468
2024-12-24 14:17:50.766937139,12122,python3,247042335
2024-12-24 14:17:52.486776695,12119,python3,2314805561
