Timestamp,PID,Comm,Source_IP,Source_Port,Destination_IP,Destination_Port,Sent_Bytes,Received_Bytes
2024-12-11 16:26:55,198621,python3,10.193.121.196,53919,44.206.71.62,47873,513775,5474
2024-12-11 16:26:55,198621,python3,10.193.121.196,51871,44.206.71.62,47873,443998,5469
2024-12-11 16:26:55,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1480178,6301
2024-12-11 16:26:55,198621,python3,10.193.121.196,62111,44.206.71.62,47873,181390,5469
2024-12-11 16:26:55,198621,python3,10.193.121.196,24745,44.196.3.45,47873,509650,5469
2024-12-11 16:26:56,198621,python3,10.193.121.196,53919,44.206.71.62,47873,513775,451715
2024-12-11 16:26:56,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1518842,6301
2024-12-11 16:26:56,198621,python3,10.193.121.196,22697,44.196.3.45,47873,513775,5474
2024-12-11 16:26:56,198621,python3,10.193.121.196,25257,44.196.3.45,47873,498740,5474
2024-12-11 16:26:57,198621,python3,10.193.121.196,64159,44.206.71.62,47873,345520,5469
2024-12-11 16:26:57,198621,python3,10.193.121.196,62111,44.206.71.62,47873,296281,5469
2024-12-11 16:26:57,198621,python3,10.193.121.196,51871,44.206.71.62,47873,513775,5474
2024-12-11 16:26:57,198621,python3,10.193.121.196,59551,44.206.71.62,47873,512397,5474
2024-12-11 16:26:57,198621,python3,10.193.121.196,22697,44.196.3.45,47873,513775,330083
2024-12-11 16:26:58,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1531550,6301
2024-12-11 16:26:58,198621,python3,10.193.121.196,25257,44.196.3.45,47873,498740,328373
2024-12-11 16:26:58,198621,python3,10.193.121.196,2208,44.206.71.62,47873,181390,5469
2024-12-11 16:26:58,198621,python3,10.193.121.196,24745,44.196.3.45,47873,513775,5474
2024-12-11 16:26:58,198621,python3,10.193.121.196,51871,44.206.71.62,47873,513775,202659
2024-12-11 16:26:58,198621,python3,10.193.121.196,59551,44.206.71.62,47873,512397,134603
2024-12-11 16:26:58,198621,python3,10.193.121.196,64159,44.206.71.62,47873,513775,5474
2024-12-11 16:26:58,198621,python3,10.193.121.196,57503,44.206.71.62,47873,513775,5474
