Timestamp,PID,Comm,Seq,State,Event_Type,Source_IP,Source_Port,Destination_IP,Destination_Port
2024-12-11 16:26:50.796485270,198621,python3,1083188003,ESTABLISHED,1,10.193.121.196,16041,44.196.3.45,443
2024-12-11 16:26:51.490007157,4699,x-terminal-emul,1083224203,ESTABLISHED,1,10.193.121.196,16041,44.196.3.45,443
2024-12-11 16:26:59.139989511,198621,python3,672963273,ESTABLISHED,1,10.193.121.196,54507,44.206.71.62,443
2024-12-11 16:26:59.207061653,198621,python3,2748858876,ESTABLISHED,1,10.193.121.196,7825,44.196.3.45,443
2024-12-11 16:27:01.651002497,198621,python3,132813807,ESTABLISHED,1,10.193.121.196,12433,44.196.3.45,443
2024-12-11 16:27:02.942025164,2107,gmain,2668073285,ESTABLISHED,1,10.193.121.196,62699,44.206.71.62,443
2024-12-11 16:27:09.293003912,198621,python3,2154001591,ESTABLISHED,1,10.193.121.196,25233,44.196.3.45,443
