1ms,4ms,16ms,32ms,64ms,128ms,256ms,256ms+
0,0,0,0,10,0,0,0
0,0,0,0,30,0,0,0
0,0,74,7,34,0,0,0
0,0,75,94,53,0,0,0
0,0,75,97,62,0,0,0
0,0,75,97,64,0,0,0
0,0,75,163,165,0,0,0
0,0,75,175,192,0,38,16
0,0,75,176,199,1,56,117
0,0,75,176,199,2,106,435
0,0,75,176,199,4,136,1129
0,0,75,176,199,6,299,1981
0,0,75,176,199,8,483,2294
0,0,75,176,199,10,485,2735
0,0,75,176,199,12,488,3487
0,0,75,176,211,16,504,4085
0,0,75,178,241,16,532,4245
0,0,75,187,262,16,563,4526
0,0,75,190,292,16,586,4694
0,0,75,190,312,16,618,5065
0,0,75,190,346,16,757,6030
0,0,75,190,376,16,875,6673
0,0,75,197,412,16,917,6916
0,0,75,201,421,16,917,7332
0,0,75,201,432,16,927,7653
0,0,75,201,447,16,928,8003
0,0,75,201,460,16,928,8209
0,0,75,201,474,16,928,8209
0,0,75,201,476,16,928,8209
0,0,75,201,477,17,928,8209
0,0,75,201,478,18,928,8236
0,0,75,201,479,19,928,8345
0,0,75,201,479,21,928,8561
0,0,75,201,479,29,928,8561
0,0,75,201,480,30,928,8561
0,0,75,201,480,32,928,8561
0,0,75,201,480,34,928,8561
0,0,75,201,480,36,928,8561
0,0,75,201,480,38,928,8561
0,0,75,201,480,40,928,8561
0,0,75,201,480,42,928,8561
0,0,75,201,480,44,928,8561
0,0,75,201,480,45,928,8561
0,0,75,201,480,47,928,8561
0,0,75,201,480,48,928,8561
0,0,75,201,480,50,928,8561
0,0,75,201,480,52,928,8561
0,0,75,201,480,53,928,8561
0,0,75,201,480,55,928,8561
0,0,75,201,480,56,928,8561
0,0,75,201,480,59,928,8561
0,0,75,201,480,60,928,8561
0,0,75,201,480,62,928,8561
0,0,75,201,480,64,928,8561
0,0,75,201,480,66,928,8561
0,0,75,201,480,68,928,8561
0,0,75,201,480,70,928,8561
0,0,75,201,480,72,928,8561
0,0,75,201,480,74,928,8561
0,0,75,201,480,76,928,8561
0,0,75,201,480,77,928,8561
0,0,75,201,480,78,928,8561
0,0,75,201,480,80,928,8561
0,0,75,201,480,81,928,8561
0,0,75,201,480,83,928,8561
0,0,75,201,480,84,928,8561
0,0,75,201,480,87,928,8561
0,0,83,210,488,87,928,8561
0,0,85,214,488,87,928,8561
0,0,91,223,488,87,928,8561
0,0,92,223,488,87,928,8561
0,0,92,225,488,87,928,8561
0,0,92,226,489,87,928,8561
0,0,92,226,496,87,928,8561
0,0,92,230,500,87,928,8561
0,10,177,239,500,87,928,8561
0,10,184,244,500,87,928,8561
0,10,227,246,500,87,928,8561
0,10,250,246,500,87,928,8561
0,10,259,250,500,91,928,8561
0,10,275,252,500,91,928,8561
0,10,285,252,500,91,928,8561
0,10,303,253,500,91,928,8561
0,10,311,253,500,91,928,8561
0,10,325,253,500,91,928,8561
0,10,328,253,500,91,928,8561
