Timestamp,PID,Comm,Source_IP,Source_Port,Destination_IP,Destination_Port,Sent_Bytes,Received_Bytes
2024-12-11 16:17:01,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,106070,3030
2024-12-11 16:17:02,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1239599,5595
2024-12-11 16:17:03,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1315583,5621
2024-12-11 16:17:04,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1573216,5643
2024-12-11 16:17:04,198157,python3,10.193.121.196,45293,44.206.71.62,47873,82912,5469
2024-12-11 16:17:04,198157,python3,10.193.121.196,42721,44.196.3.45,47873,82912,5469
2024-12-11 16:17:04,198157,python3,10.193.121.196,41185,44.196.3.45,47873,181390,5469
2024-12-11 16:17:05,198157,python3,10.193.121.196,48365,44.206.71.62,47873,181390,5469
2024-12-11 16:17:05,198157,python3,10.193.121.196,51949,44.206.71.62,47873,181390,5469
2024-12-11 16:17:05,198157,python3,10.193.121.196,46817,44.196.3.45,47873,181390,5469
2024-12-11 16:17:05,198157,python3,10.193.121.196,49377,44.196.3.45,47873,185263,5469
2024-12-11 16:17:05,198157,python3,10.193.121.196,48353,44.196.3.45,47873,181390,5469
2024-12-11 16:17:05,198157,python3,10.193.121.196,52973,44.206.71.62,47873,120096,5469
2024-12-11 16:17:05,198157,python3,10.193.121.196,55021,44.206.71.62,47873,181390,5469
2024-12-11 16:17:05,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1573308,5643
2024-12-11 16:17:06,198157,python3,10.193.121.196,48353,44.196.3.45,47873,411172,5469
2024-12-11 16:17:06,198157,python3,10.193.121.196,42721,44.196.3.45,47873,427585,5469
2024-12-11 16:17:06,198157,python3,10.193.121.196,41185,44.196.3.45,47873,464536,5474
2024-12-11 16:17:06,198157,python3,10.193.121.196,46817,44.196.3.45,47873,394759,5469
2024-12-11 16:17:06,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1573400,5643
2024-12-11 16:17:06,198157,python3,10.193.121.196,45293,44.206.71.62,47873,329107,5469
2024-12-11 16:17:06,198157,python3,10.193.121.196,48365,44.206.71.62,47873,513775,5474
2024-12-11 16:17:07,198157,python3,10.193.121.196,51949,44.206.71.62,47873,513775,5474
